#BEGIN: [Tue Aug  1 12:29:15 2023]
#HOST: mini26.local
#TIMELIMIT: 7200
#MEMLIMIT: 0
#FREQ: 10
#SOLVER: ddreconf230801-10h10m
#ARG1: benchmark/ISR-benchmark/exp_instance/SAT_exp_instance012.col
#ARG2: benchmark/ISR-benchmark/exp_instance/SAT_exp_instance012.dat
#COMMAND: /Users/soh/app/ddreconf230801-10h10m/ddreconf benchmark/ISR-benchmark/exp_instance/SAT_exp_instance012.col --indset --stwidth --stfile=benchmark/ISR-benchmark/exp_instance/SAT_exp_instance012.dat
Input graph file parsed. # of vertices = 126, # of edges = 210
s 2 4 6 8 10 12 14 16 18 20 22 24 25 27 30 33 35 38 41 44 47 49 52 55 58 61 64 67 69 72 75 78 81 84 87 90 93 95 98 101 104 107 110 113 116 119 122 125
t 2 4 6 8 10 12 14 16 18 20 21 23 25 27 30 33 35 38 41 44 47 49 52 55 58 61 64 67 69 72 75 78 81 84 87 90 93 96 97 100 103 106 109 112 115 118 121 124
Solution space ZDD construction start
Solution space ZDD construction end
Solution space ZDD construction time = 756.788587
Solution space ZDD size = 142539591
# of elements in the solution space = 415653365128275123681600
Start computing the width of the solution space graph
Zs_1 construction time = 0.040354, # ZDD nodes = 112, # elems = 21
Zt_1 construction time = 0.010250, # ZDD nodes = 112, # elems = 21
Zs_2 construction time = 0.009904, # ZDD nodes = 198, # elems = 208
Zt_2 construction time = 0.009246, # ZDD nodes = 198, # elems = 208
Zs_3 construction time = 0.016241, # ZDD nodes = 291, # elems = 1294
Zt_3 construction time = 0.014750, # ZDD nodes = 291, # elems = 1294
Zs_4 construction time = 0.027265, # ZDD nodes = 397, # elems = 5675
Zt_4 construction time = 0.023736, # ZDD nodes = 397, # elems = 5675
Zs_5 construction time = 0.027777, # ZDD nodes = 492, # elems = 18655
Zt_5 construction time = 0.026598, # ZDD nodes = 492, # elems = 18655
Zs_6 construction time = 0.030466, # ZDD nodes = 587, # elems = 47693
Zt_6 construction time = 0.026789, # ZDD nodes = 587, # elems = 47693
Zs_7 construction time = 0.053286, # ZDD nodes = 693, # elems = 97096
Zt_7 construction time = 0.034205, # ZDD nodes = 693, # elems = 97096
Zs_8 construction time = 0.037195, # ZDD nodes = 796, # elems = 159852
Zt_8 construction time = 0.045227, # ZDD nodes = 796, # elems = 159852
Zs_9 construction time = 0.047914, # ZDD nodes = 890, # elems = 214896
Zt_9 construction time = 0.033920, # ZDD nodes = 890, # elems = 214896
Zs_10 construction time = 0.032698, # ZDD nodes = 971, # elems = 237184
Zt_10 construction time = 0.037746, # ZDD nodes = 971, # elems = 237184
Zs_11 construction time = 0.050297, # ZDD nodes = 1041, # elems = 215317
Zt_11 construction time = 0.046767, # ZDD nodes = 1041, # elems = 215317
Zs_12 construction time = 0.030532, # ZDD nodes = 1088, # elems = 160559
Zt_12 construction time = 0.037374, # ZDD nodes = 1088, # elems = 160559
Zs_13 construction time = 0.026504, # ZDD nodes = 1119, # elems = 98032
Zt_13 construction time = 0.026710, # ZDD nodes = 1119, # elems = 98032
Zs_14 construction time = 0.027180, # ZDD nodes = 1098, # elems = 49084
Zt_14 construction time = 0.054664, # ZDD nodes = 1098, # elems = 49084
Zs_15 construction time = 0.014067, # ZDD nodes = 1039, # elems = 20952
Zt_15 construction time = 0.013828, # ZDD nodes = 1039, # elems = 20952
Zs_16 construction time = 0.011961, # ZDD nodes = 941, # elems = 9294
Zt_16 construction time = 0.011425, # ZDD nodes = 941, # elems = 9294
Zs_17 construction time = 0.009963, # ZDD nodes = 813, # elems = 6557
Zt_17 construction time = 0.009722, # ZDD nodes = 813, # elems = 6557
Zs_18 construction time = 0.016453, # ZDD nodes = 674, # elems = 7581
