#BEGIN: [Tue Aug  1 10:27:17 2023]
#HOST: mini30.local
#TIMELIMIT: 7200
#MEMLIMIT: 0
#FREQ: 10
#SOLVER: ddreconf230801-10h10m
#ARG1: benchmark/ISR-benchmark/exp_instance/IS_exp_instance005.col
#ARG2: benchmark/ISR-benchmark/exp_instance/IS_exp_instance005.dat
#COMMAND: /Users/soh/app/ddreconf230801-10h10m/ddreconf benchmark/ISR-benchmark/exp_instance/IS_exp_instance005.col --indset --stwidth --stfile=benchmark/ISR-benchmark/exp_instance/IS_exp_instance005.dat
Input graph file parsed. # of vertices = 65, # of edges = 402
s 1 8 14 21 27 34 40 47 53 60
t 7 13 14 21 27 34 40 47 53 60
Solution space ZDD construction start
Solution space ZDD construction end
Solution space ZDD construction time = 0.023509
Solution space ZDD size = 139
# of elements in the solution space = 4216790
Start computing the width of the solution space graph
Zs_1 construction time = 0.000072, # ZDD nodes = 22, # elems = 5
Zt_1 construction time = 0.000105, # ZDD nodes = 21, # elems = 4
Zs_2 construction time = 0.000073, # ZDD nodes = 40, # elems = 15
Zt_2 construction time = 0.000073, # ZDD nodes = 36, # elems = 10
Zs_3 construction time = 0.000203, # ZDD nodes = 58, # elems = 31
Zt_3 construction time = 0.000152, # ZDD nodes = 52, # elems = 19
Zs_4 construction time = 0.000183, # ZDD nodes = 80, # elems = 50
Zt_4 construction time = 0.000240, # ZDD nodes = 71, # elems = 31
Zs_5 construction time = 0.000228, # ZDD nodes = 105, # elems = 73
Zt_5 construction time = 0.000160, # ZDD nodes = 90, # elems = 48
Zs_6 construction time = 0.000221, # ZDD nodes = 129, # elems = 104
Zt_6 construction time = 0.000238, # ZDD nodes = 111, # elems = 67
Zs_7 construction time = 0.000300, # ZDD nodes = 149, # elems = 142
Zt_7 construction time = 0.000294, # ZDD nodes = 130, # elems = 85
Zs_8 construction time = 0.000295, # ZDD nodes = 170, # elems = 176
Zt_8 construction time = 0.000271, # ZDD nodes = 148, # elems = 105
Zs_9 construction time = 0.000212, # ZDD nodes = 189, # elems = 204
Zt_9 construction time = 0.000194, # ZDD nodes = 163, # elems = 127
Zs_10 construction time = 0.000240, # ZDD nodes = 207, # elems = 237
Zt_10 construction time = 0.000212, # ZDD nodes = 176, # elems = 144
Zs_11 construction time = 0.000262, # ZDD nodes = 222, # elems = 272
Zt_11 construction time = 0.000192, # ZDD nodes = 189, # elems = 155
Zs_12 construction time = 0.000224, # ZDD nodes = 231, # elems = 294
Zt_12 construction time = 0.000191, # ZDD nodes = 196, # elems = 167
Zs_13 construction time = 0.000214, # ZDD nodes = 240, # elems = 303
Zt_13 construction time = 0.000222, # ZDD nodes = 201, # elems = 177
Zs_14 construction time = 0.000205, # ZDD nodes = 244, # elems = 310
Zt_14 construction time = 0.000251, # ZDD nodes = 201, # elems = 178
Zs_15 construction time = 0.000279, # ZDD nodes = 246, # elems = 313
Zt_15 construction time = 0.000321, # ZDD nodes = 197, # elems = 173
Zs_16 construction time = 0.000277, # ZDD nodes = 242, # elems = 305
Zt_16 construction time = 0.000126, # ZDD nodes = 191, # elems = 165
Zs_17 construction time = 0.000164, # ZDD nodes = 236, # elems = 287
Zt_17 construction time = 0.000114, # ZDD nodes = 184, # elems = 153
Zs_18 construction time = 0.000284, # ZDD nodes = 230, # elems = 262
Zt_18 construction time = 0.000163, # ZDD nodes = 177, # elems = 140
Zs_19 construction time = 0.000191, # ZDD nodes = 223, # elems = 236
Zt_19 construction time = 0.000120, # ZDD nodes = 170, # elems = 126
Zs_20 construction time = 0.000141, # ZDD nodes = 218, # elems = 215
Zt_20 construction time = 0.000108, # ZDD nodes = 162, # elems = 109
Zs_21 construction time = 0.000150, # ZDD nodes = 212, # elems = 193
Zt_21 construction time = 0.000154, # ZDD nodes = 154, # elems = 95
Zs_22 construction time = 0.000152, # ZDD nodes = 204, # elems = 168
Zt_22 construction time = 0.000119, # ZDD nodes = 146, # elems = 87
Zs_23 construction time = 0.000151, # ZDD nodes = 196, # elems = 151
Zt_23 construction time = 0.000126, # ZDD nodes = 140, # elems = 79
Zs_24 construction time = 0.000200, # ZDD nodes = 188, # elems = 144
Zt_24 construction time = 0.000129, # ZDD nodes = 135, # elems = 72
Zs_25 construction time = 0.000161, # ZDD nodes = 182, # elems = 139
Zt_25 construction time = 0.000169, # ZDD nodes = 134, # elems = 71
Zs_26 construction time = 0.000202, # ZDD nodes = 180, # elems = 135
Zt_26 construction time = 0.000126, # ZDD nodes = 133, # elems = 73
Zs_27 construction time = 0.000202, # ZDD nodes = 179, # elems = 135
Zt_27 construction time = 0.000167, # ZDD nodes = 135, # elems = 76
Zs_28 construction time = 0.000156, # ZDD nodes = 178, # elems = 138
Zt_28 construction time = 0.000118, # ZDD nodes = 136, # elems = 79
Zs_29 construction time = 0.000144, # ZDD nodes = 180, # elems = 144
Zt_29 construction time = 0.000137, # ZDD nodes = 138, # elems = 80
Zs_30 construction time = 0.000158, # ZDD nodes = 181, # elems = 150
Zt_30 construction time = 0.000125, # ZDD nodes = 140, # elems = 81
Zs_31 construction time = 0.000152, # ZDD nodes = 179, # elems = 151
Zt_31 construction time = 0.000157, # ZDD nodes = 140, # elems = 83
Zs_32 construction time = 0.000139, # ZDD nodes = 179, # elems = 149
Zt_32 construction time = 0.000114, # ZDD nodes = 140, # elems = 84
Zs_33 construction time = 0.000280, # ZDD nodes = 179, # elems = 147
Zt_33 construction time = 0.000308, # ZDD nodes = 140, # elems = 83
Zs_34 construction time = 0.000132, # ZDD nodes = 175, # elems = 144
Zt_34 construction time = 0.000145, # ZDD nodes = 134, # elems = 79
Zs_35 construction time = 0.000218, # ZDD nodes = 171, # elems = 137
Zt_35 construction time = 0.000087, # ZDD nodes = 126, # elems = 72
Zs_36 construction time = 0.000201, # ZDD nodes = 162, # elems = 123
